,Pred_Ampalaya,Pred_Avocado,Pred_Bamboo,Pred_Banana,Pred_Black Pepper,Pred_Cacao,Pred_Calamansi,Pred_Cassava,Pred_Coconut,Pred_Coffee,Pred_Eggplant,Pred_Forage Grass,Pred_Gabi,Pred_Ginger,Pred_Ipil Ipil,Pred_Jackfruit,Pred_Katuray,Pred_Kulo,Pred_Lanzones,Pred_Lipote,Pred_Maize,Pred_Mango,Pred_Orchid,Pred_Papaya,Pred_Pechay,Pred_Pineapple,Pred_Rambutan,Pred_Rice,Pred_Sili Labuyo,Pred_Squash,Pred_String Bean,Pred_Sweet Potato,Pred_Sweet Sorghum,Pred_Ube,Pred_Upo
True_Ampalaya,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
True_Avocado,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Bamboo,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Banana,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4,0,1,0
True_Black Pepper,0,0,0,0,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Cacao,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Calamansi,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
True_Cassava,0,0,0,0,0,0,0,27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
True_Coconut,0,0,0,0,0,0,0,0,26,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
True_Coffee,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Eggplant,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Forage Grass,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Gabi,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Ginger,0,2,0,0,0,0,0,0,2,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
True_Ipil Ipil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Jackfruit,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,25,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
True_Katuray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Kulo,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Lanzones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True_Lipote,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
