soil_ph,fertility_ec,humidity,sunlight,soil_temp,soil_moisture,label,source
6.3,525,74,3200,29.1,88,Ampalaya,original
6.7,530,74,3000,29.5,92,Ampalaya,original
6.3,526,72,3180,29.2,89,Ampalaya,original
6.7,529,73,3010,29.2,87,Ampalaya,original
6.3,527,71,3160,29.0,90,Ampalaya,original
6.7,528,73,3050,29.2,91,Ampalaya,original
5.5,455,85,1150,27.1,85,Avocado,original
6.1,415,79,1750,28.3,83,Avocado,original
6.2,440,80,1450,28.1,88,Avocado,original
5.9,430,82,1500,27.0,80,Avocado,original
5.7,425,85,1100,26.9,81,Avocado,original
5.5,410,86,1300,26.7,82,Avocado,original
5.6,460,84,1000,27.5,85,Avocado,original
6.0,450,83,950,27.8,86,Avocado,original
4.0,632,62,8077,29.5,99,Bamboo,original
6.8,405,79,1900,28.0,84,Bamboo,original
5.7,470,84,1050,27.4,89,Bamboo,original
5.7,420,81,950,28.0,80,Bamboo,original
6.1,390,76,1850,28.3,78,Bamboo,original
5.7,400,86,850,27.0,87,Black Pepper,original
5.6,425,88,900,26.8,85,Black Pepper,original
5.5,410,89,800,26.6,89,Black Pepper,original
5.8,430,84,1000,27.3,88,Black Pepper,original
5.9,405,85,950,27.1,86,Black Pepper,original
5.5,415,87,750,26.5,84,Black Pepper,original
5.7,420,83,1050,27.2,85,Black Pepper,original
5.6,440,85,900,26.9,85,Black Pepper,original
5.6,440,85,900,26.9,85,Cacao,original
5.7,400,86,850,27.0,87,Cacao,original
5.6,425,88,900,26.8,85,Cacao,original
5.5,410,89,800,26.6,89,Cacao,original
5.8,430,84,1000,27.3,88,Cacao,original
5.9,405,85,950,27.1,86,Cacao,original
5.5,415,87,750,26.5,84,Cacao,original
5.7,420,83,1050,27.2,85,Cacao,original
6.0,517,88,1094,28.5,99,Cassava,original
6.0,400,80,1000,27.9,80,Cassava,original
6.0,517,88,1094,28.5,99,Cassava,original
6.0,400,80,1000,27.9,80,Cassava,original
6.1,390,76,1850,28.3,78,Cassava,original
6.8,405,79,1900,28.0,84,Cassava,original
5.7,470,84,1050,27.4,89,Cassava,original
5.7,420,81,950,28.0,80,Cassava,original
5.9,430,83,150,28.3,84,Cassava,original
5.5,450,86,700,26.5,87,Calamansi,original
6.0,435,79,2000,28.1,82,Calamansi,original
6.5,475,80,1215,27.0,99,Coconut,original
6.2,480,82,1500,27.5,90,Coconut,original
6.3,460,78,1800,28.2,90,Coconut,original
6.1,510,83,1400,28.0,98,Coconut,original
5.7,445,84,980,27.2,86,Coconut,original
6.0,355,70,12571,33.9,99,Coconut,original
