soil_ph,fertility_ec,humidity,sunlight,soil_temp,soil_moisture,label,source
5.5,455,85,1150,27.1,85,Avocado,original
6.1,415,79,1750,28.3,83,Avocado,original
6.2,440,80,1450,28.1,88,Avocado,original
5.9,430,82,1500,27.0,80,Avocado,original
5.7,425,85,1100,26.9,81,Avocado,original
5.5,410,86,1300,26.7,82,Avocado,original
5.6,460,84,1000,27.5,85,Avocado,original
6.0,450,83,950,27.8,86,Avocado,original
5.4,470,83,1300,27.9,90,Avocado,original
4.0,771,79,8280,28.8,99,Avocado,original
4.5,810,66,9337,29.3,99,Avocado,original
6.8,550,75,2500,29.2,95,Avocado,original
6.4,495,81,1650,27.8,92,Avocado,original
5.4,470,83,1300,27.9,90,Avocado,original
6.5,475,80,1215,27.0,99,Avocado,original
6.2,480,82,1500,27.5,90,Avocado,original
6.3,460,78,1800,28.2,90,Avocado,original
6.1,510,83,1400,28.0,98,Avocado,original
5.7,445,84,980,27.2,86,Avocado,original
6.0,355,70,12571,33.9,99,Avocado,original
5.7,470,84,1050,27.4,89,Avocado,original
5.8,490,85,850,26.8,85,Avocado,original
5.9,505,84,1100,27.3,88,Avocado,original
3.5,898,67,4316,30.7,99,Avocado,original
6.0,517,88,1094,28.5,99,Avocado,original
6.0,400,80,1000,27.9,80,Avocado,original
6.0,435,79,2000,28.1,82,Avocado,original
5.5,455,85,1150,27.1,85,Banana,original
6.1,415,79,1750,28.3,83,Banana,original
6.2,440,80,1450,28.1,88,Banana,original
5.9,430,82,1500,27.0,80,Banana,original
5.7,425,85,1100,26.9,81,Banana,original
5.5,410,86,1300,26.7,82,Banana,original
5.6,460,84,1000,27.5,85,Banana,original
6.0,450,83,950,27.8,86,Banana,original
5.4,470,83,1300,27.9,90,Banana,original
4.0,771,79,8280,28.8,99,Banana,original
4.5,810,66,9337,29.3,99,Banana,original
6.8,550,75,2500,29.2,95,Banana,original
6.4,495,81,1650,27.8,92,Banana,original
5.4,470,83,1300,27.9,90,Banana,original
6.5,475,80,1215,27.0,99,Banana,original
6.2,480,82,1500,27.5,90,Banana,original
6.3,460,78,1800,28.2,90,Banana,original
6.1,510,83,1400,28.0,98,Banana,original
5.7,445,84,980,27.2,86,Banana,original
6.0,355,70,12571,33.9,99,Banana,original
5.7,470,84,1050,27.4,89,Banana,original
5.8,490,85,850,26.8,85,Banana,original
5.9,505,84,1100,27.3,88,Banana,original
3.5,898,67,4316,30.7,99,Banana,original
6.0,517,88,1094,28.5,99,Banana,original
6.0,400,80,1000,27.9,80,Banana,original
6.0,435,79,2000,28.1,82,Banana,original
5.5,455,85,1150,27.1,85,Coconut,original
6.1,415,79,1750,28.3,83,Coconut,original
6.2,440,80,1450,28.1,88,Coconut,original
5.9,430,82,1500,27.0,80,Coconut,original
5.7,425,85,1100,26.9,81,Coconut,original
5.5,410,86,1300,26.7,82,Coconut,original
5.6,460,84,1000,27.5,85,Coconut,original
6.0,450,83,950,27.8,86,Coconut,original
5.4,470,83,1300,27.9,90,Coconut,original
4.0,771,79,8280,28.8,99,Coconut,original
4.5,810,66,9337,29.3,99,Coconut,original
6.8,550,75,2500,29.2,95,Coconut,original
6.4,495,81,1650,27.8,92,Coconut,original
5.4,470,83,1300,27.9,90,Coconut,original
6.5,475,80,1215,27.0,99,Coconut,original
6.2,480,82,1500,27.5,90,Coconut,original
6.3,460,78,1800,28.2,90,Coconut,original
6.1,510,83,1400,28.0,98,Coconut,original
5.7,445,84,980,27.2,86,Coconut,original
6.0,355,70,12571,33.9,99,Coconut,original
5.7,470,84,1050,27.4,89,Coconut,original
5.8,490,85,850,26.8,85,Coconut,original
5.9,505,84,1100,27.3,88,Coconut,original
3.5,898,67,4316,30.7,99,Coconut,original
6.0,517,88,1094,28.5,99,Coconut,original
6.0,400,80,1000,27.9,80,Coconut,original
6.0,435,79,2000,28.1,82,Coconut,original
5.5,455,85,1150,27.1,85,Jackfruit,original
6.1,415,79,1750,28.3,83,Jackfruit,original
6.2,440,80,1450,28.1,88,Jackfruit,original
