soil_ph,fertility_ec,humidity,sunlight,soil_temp,soil_moisture,label
5.5,455,85,1150,27.1,85,Avocado 
6.1,415,79,1750,28.3,83,Avocado 
6.2,440,80,1450,28.1,88,Avocado
5.9,430,82,1500,27,80,Avocado 
5.7,425,85,1100,26.9,81,Avocado 
5.5,410,86,1300,26.7,82,Avocado 
5.6,460,84,1000,27.5,85,Avocado
6,450,83,950,27.8,86,Avocado
5.4,470,83,1300,27.9,90,Avocado
4,771,79,8280,28.8,99,Avocado
4.5,810,66,9337,29.3,99,Avocado
6.8,550,75,2500,29.2,95,Avocado
6.4,495,81,1650,27.8,92,Avocado
5.4,470,83,1300,27.9,90,Avocado
6.5,475,80,1215,27,99,Avocado
6.2,480,82,1500,27.5,90,Avocado
6.3,460,78,1800,28.2,90,Avocado
6.1,510,83,1400,28,98,Avocado
5.7,445,84,980,27.2,86,Avocado
6,355,70,12571,33.9,99,Avocado
5.7,470,84,1050,27.4,89,Avocado
5.8,490,85,850,26.8,85,Avocado
5.9,505,84,1100,27.3,88,Avocado
3.5,898,67,4316,30.7,99,Avocado
6,517,88,1094,28.5,99,Avocado
6,400,80,1000,27.9,80,Avocado
6,435,79,2000,28.1,82,Avocado
5.5,455,85,1150,27.1,85,Banana 
6.1,415,79,1750,28.3,83,Banana 
6.2,440,80,1450,28.1,88,Banana
5.9,430,82,1500,27,80,Banana 
5.7,425,85,1100,26.9,81,Banana 
5.5,410,86,1300,26.7,82,Banana 
5.6,460,84,1000,27.5,85,Banana
6,450,83,950,27.8,86,Banana
5.4,470,83,1300,27.9,90,Banana
4,771,79,8280,28.8,99,Banana
4.5,810,66,9337,29.3,99,Banana
6.8,550,75,2500,29.2,95,Banana
6.4,495,81,1650,27.8,92,Banana
5.4,470,83,1300,27.9,90,Banana
6.5,475,80,1215,27,99,Banana
6.2,480,82,1500,27.5,90,Banana
6.3,460,78,1800,28.2,90,Banana
6.1,510,83,1400,28,98,Banana
5.7,445,84,980,27.2,86,Banana
6,355,70,12571,33.9,99,Banana
5.7,470,84,1050,27.4,89,Banana
5.8,490,85,850,26.8,85,Banana
5.9,505,84,1100,27.3,88,Banana
3.5,898,67,4316,30.7,99,Banana
6,517,88,1094,28.5,99,Banana
6,400,80,1000,27.9,80,Banana
6,435,79,2000,28.1,82,Banana
5.5,455,85,1150,27.1,85,Coconut 
6.1,415,79,1750,28.3,83,Coconut 
6.2,440,80,1450,28.1,88,Coconut
5.9,430,82,1500,27,80,Coconut 
5.7,425,85,1100,26.9,81,Coconut 
5.5,410,86,1300,26.7,82,Coconut 
5.6,460,84,1000,27.5,85,Coconut
6,450,83,950,27.8,86,Coconut
5.4,470,83,1300,27.9,90,Coconut
4,771,79,8280,28.8,99,Coconut
4.5,810,66,9337,29.3,99,Coconut
6.8,550,75,2500,29.2,95,Coconut
6.4,495,81,1650,27.8,92,Coconut
5.4,470,83,1300,27.9,90,Coconut
6.5,475,80,1215,27,99,Coconut
6.2,480,82,1500,27.5,90,Coconut
6.3,460,78,1800,28.2,90,Coconut
6.1,510,83,1400,28,98,Coconut
5.7,445,84,980,27.2,86,Coconut
6,355,70,12571,33.9,99,Coconut
5.7,470,84,1050,27.4,89,Coconut
5.8,490,85,850,26.8,85,Coconut
5.9,505,84,1100,27.3,88,Coconut
3.5,898,67,4316,30.7,99,Coconut
6,517,88,1094,28.5,99,Coconut
6,400,80,1000,27.9,80,Coconut
6,435,79,2000,28.1,82,Coconut
5.5,455,85,1150,27.1,85,Jackfruit 
6.1,415,79,1750,28.3,83,Jackfruit 
6.2,440,80,1450,28.1,88,Jackfruit
5.9,430,82,1500,27,80,Jackfruit 
5.7,425,85,1100,26.9,81,Jackfruit 
5.5,410,86,1300,26.7,82,Jackfruit 
5.6,460,84,1000,27.5,85,Jackfruit
6,450,83,950,27.8,86,Jackfruit
5.4,470,83,1300,27.9,90,Jackfruit
4,771,79,8280,28.8,99,Jackfruit
4.5,810,66,9337,29.3,99,Jackfruit
6.8,550,75,2500,29.2,95,Jackfruit
6.4,495,81,1650,27.8,92,Jackfruit
5.4,470,83,1300,27.9,90,Jackfruit
6.5,475,80,1215,27,99,Jackfruit
6.2,480,82,1500,27.5,90,Jackfruit
6.3,460,78,1800,28.2,90,Jackfruit
6.1,510,83,1400,28,98,Jackfruit
5.7,445,84,980,27.2,86,Jackfruit
6,355,70,12571,33.9,99,Jackfruit
5.7,470,84,1050,27.4,89,Jackfruit
