crop,roc_auc,pr_auc,brier_score,positive_samples,negative_samples
Ampalaya,0.987173202614379,0.7019794309594707,0.014565991889805114,100,3400
Avocado,0.9995751633986927,0.9877394636015325,0.004093211742222401,100,3400
Bamboo,0.9823202614379086,0.9676190476190476,0.0014877641779000865,100,3400
Banana,0.9859967320261437,0.7873214822201656,0.012511074945363371,100,3400
Black Pepper,0.9806372549019609,0.9450264550264549,0.0033574511155071785,100,3400
Cacao,0.9986111111111111,0.9266173958213075,0.0030072809730351175,100,3400
Calamansi,0.9990196078431373,0.9656901393625531,0.004916594466664844,100,3400
Cassava,0.9816013071895425,0.9532726978737165,0.0038377534703563053,100,3400
Coconut,0.996078431372549,0.8684191923357799,0.011288832663114229,100,3400
Coffee,0.9992973856209151,0.9603099605369164,0.0016154030119813099,100,3400
Eggplant,0.9978758169934641,0.9042214309187994,0.006559871681428743,100,3400
Forage Grass,0.9979575163398693,0.956917211328976,0.0035037368123103183,100,3400
Gabi,0.9994444444444445,0.9862552594670407,0.0019400263844797179,100,3400
Ginger,0.9980228758169934,0.9670889736192646,0.003283900297005332,100,3400
Ipil Ipil,1.0,1.0,0.0011112473169548128,100,3400
Jackfruit,0.980686274509804,0.9621541461412151,0.00342636050161853,100,3400
Katuray,0.9999019607843137,0.9966641947843282,0.0013055730238903,100,3400
Kulo,0.9922712418300654,0.9489377186133746,0.005715477598184242,100,3400
Lanzones,0.9997712418300653,0.9916237660772329,0.0015955885913421606,100,3400
Lipote,0.9999346405228758,0.9979166666666667,0.0019346551800778764,100,3400
Maize,0.9776797385620914,0.6266266307835856,0.01503170999858657,100,3400
Mango,0.9803921568627451,0.7670992953211511,0.011562751822037417,100,3400
Orchid,0.9643464052287583,0.9352380952380952,0.0026507479908904705,100,3400
Papaya,0.9995098039215686,0.9838468600793868,0.0035503180838458302,100,3400
Pechay,0.9487581699346405,0.22900582700149252,0.0248352459654946,100,3400
Pineapple,1.0,0.9999999999999999,0.001307835095178746,100,3400
Rambutan,0.9981372549019608,0.964855797076512,0.004704523649999648,100,3400
Rice,0.9987908496732026,0.9709593301547326,0.003811822553487144,100,3400
Sili Labuyo,0.9863725490196078,0.880561949654451,0.008058329282810488,100,3400
Squash,0.9757352941176471,0.4363882079357968,0.019741352562802635,100,3400
String Bean,0.9988725490196079,0.9234142691322973,0.0032884866190309014,100,3400
Sweet Potato,0.9760294117647059,0.8837498652133381,0.008058235509279064,100,3400
Sweet Sorghum,0.9979738562091504,0.9243437118465722,0.006554553634569162,100,3400
Ube,0.9984967320261438,0.9655014047255427,0.005023014452523411,100,3400
Upo,0.9384150326797387,0.2403585295899893,0.024718955959518382,100,3400
