crop,best_model,roc_auc,f1_score,accuracy,suitable_samples,total_samples
Ampalaya,XGBoost,1.0,0.9666666666666667,0.9980879541108987,98,3484
Avocado,SVM,0.9947726634858265,0.0,0.9732313575525813,92,3484
Bamboo,Random Forest,1.0,1.0,1.0,99,3484
Banana,SVM,0.9989825989334831,0.9818181818181818,0.9990439770554493,94,3484
Black Pepper,Random Forest,1.0,1.0,1.0,97,3484
Cacao,Random Forest,1.0,1.0,1.0,92,3484
Calamansi,Logistic Regression,1.0,1.0,1.0,98,3484
Cassava,Random Forest,1.0,1.0,1.0,99,3484
Coconut,Random Forest,0.9983511086163346,0.9454545454545454,0.997131931166348,94,3484
Coffee,Random Forest,0.9998643745973621,0.9354838709677419,0.9961759082217974,98,3484
Eggplant,Random Forest,1.0,1.0,1.0,94,3484
Forage Grass,SVM,1.0,0.9830508474576272,0.9990439770554493,99,3484
Gabi,Random Forest,0.9997895032276172,0.9433962264150944,0.997131931166348,92,3484
Ginger,Random Forest,0.9987097008686803,0.9019607843137255,0.9952198852772467,91,3484
Ipil Ipil,Random Forest,0.9999343832020997,0.9836065573770492,0.9990439770554493,99,3484
Jackfruit,Random Forest,1.0,1.0,1.0,99,3484
Kamoteng Baging,Logistic Regression,1.0,0.9836065573770492,0.9990439770554493,99,3484
Katuray,Logistic Regression,1.0,1.0,1.0,99,3484
Kulo,Random Forest,1.0,1.0,1.0,99,3484
Lanzones,Logistic Regression,1.0,1.0,1.0,97,3484
Lipote,Random Forest,1.0,0.9811320754716981,0.9990439770554493,87,3484
Maize,Random Forest,1.0,0.9666666666666667,0.9980879541108987,97,3484
Mango,Random Forest,1.0,1.0,1.0,98,3484
Orchid,Logistic Regression,1.0,1.0,1.0,99,3484
Papaya,SVM,1.0,0.9830508474576272,0.9990439770554493,99,3484
Pechay,Random Forest,1.0,1.0,1.0,99,3484
Pineapple,Random Forest,1.0,0.9454545454545454,0.997131931166348,95,3484
Rambutan,SVM,0.9901137644022825,0.9615384615384616,0.9980879541108987,90,3484
Rice,Random Forest,1.0,1.0,1.0,99,3484
Sili Labuyo,Logistic Regression,1.0,0.9830508474576272,0.9990439770554493,99,3484
Squash,Random Forest,0.999796561896043,0.9090909090909091,0.9952198852772467,98,3484
String Bean,Logistic Regression,1.0,0.9830508474576272,0.9990439770554493,99,3484
Sweet Potato,Random Forest,0.9986056430446194,0.8709677419354839,0.9923518164435946,99,3484
Sweet Sorghum,Random Forest,0.9961286089238846,0.75,0.9866156787762906,99,3484
Ube,Random Forest,1.0,1.0,1.0,99,3484
Upo,Random Forest,1.0,1.0,1.0,99,3484
