soil_ph,fertility_ec,humidity,sunlight,soil_temp,soil_moisture,label,source,suitability_probability,suitable
6.3,525,74,3200,29.1,88,Ampalaya,original,0.6154,True
6.7,530,74,3000,29.5,92,Ampalaya,original,0.3695,False
6.3,526,72,3180,29.2,89,Ampalaya,original,0.3474,False
6.7,529,73,3010,29.2,87,Ampalaya,original,0.4525,False
6.3,527,71,3160,29.0,90,Ampalaya,original,0.2581,False
6.7,528,73,3050,29.2,91,Ampalaya,original,0.4807,False
5.5,455,85,1150,27.1,85,Avocado,original,0.598,False
6.1,415,79,1750,28.3,83,Avocado,original,0.7296,True
6.2,440,80,1450,28.1,88,Avocado,original,0.8922,True
5.9,430,82,1500,27.0,80,Avocado,original,0.7878,True
5.7,425,85,1100,26.9,81,Avocado,original,0.9758,True
5.5,410,86,1300,26.7,82,Avocado,original,0.88,True
5.6,460,84,1000,27.5,85,Avocado,original,0.877,True
6.0,450,83,950,27.8,86,Avocado,original,0.795,True
4.0,632,62,8077,29.5,99,Bamboo,original,0.273,False
6.8,405,79,1900,28.0,84,Bamboo,original,0.1854,False
5.7,470,84,1050,27.4,89,Bamboo,original,0.1673,False
5.7,420,81,950,28.0,80,Bamboo,original,0.0,False
6.1,390,76,1850,28.3,78,Bamboo,original,0.2785,False
5.7,400,86,850,27.0,87,Black Pepper,original,0.4468,False
5.6,425,88,900,26.8,85,Black Pepper,original,0.6365,True
5.5,410,89,800,26.6,89,Black Pepper,original,0.4457,False
5.8,430,84,1000,27.3,88,Black Pepper,original,0.0033,False
5.9,405,85,950,27.1,86,Black Pepper,original,0.4552,False
5.5,415,87,750,26.5,84,Black Pepper,original,0.4257,False
5.7,420,83,1050,27.2,85,Black Pepper,original,0.0,False
5.6,440,85,900,26.9,85,Black Pepper,original,0.5947,False
5.6,440,85,900,26.9,85,Cacao,original,0.5386,False
5.7,400,86,850,27.0,87,Cacao,original,0.9896,True
5.6,425,88,900,26.8,85,Cacao,original,0.5828,False
5.5,410,89,800,26.6,89,Cacao,original,0.9759,True
5.8,430,84,1000,27.3,88,Cacao,original,0.5596,False
5.9,405,85,950,27.1,86,Cacao,original,0.6989,True
5.5,415,87,750,26.5,84,Cacao,original,0.3425,False
5.7,420,83,1050,27.2,85,Cacao,original,0.4882,False
6.0,517,88,1094,28.5,99,Cassava,original,0.5548,False
6.0,400,80,1000,27.9,80,Cassava,original,0.3278,False
6.0,517,88,1094,28.5,99,Cassava,original,0.5548,False
6.0,400,80,1000,27.9,80,Cassava,original,0.3278,False
6.1,390,76,1850,28.3,78,Cassava,original,0.263,False
6.8,405,79,1900,28.0,84,Cassava,original,0.1657,False
5.7,470,84,1050,27.4,89,Cassava,original,0.0,False
5.7,420,81,950,28.0,80,Cassava,original,0.0506,False
5.9,430,83,150,28.3,84,Cassava,original,0.62,True
5.5,450,86,700,26.5,87,Calamansi,original,0.5225,False
6.0,435,79,2000,28.1,82,Calamansi,original,0.5132,False
6.5,475,80,1215,27.0,99,Coconut,original,0.3539,False
6.2,480,82,1500,27.5,90,Coconut,original,0.1262,False
6.3,460,78,1800,28.2,90,Coconut,original,0.5295,False
6.1,510,83,1400,28.0,98,Coconut,original,0.7384,True
5.7,445,84,980,27.2,86,Coconut,original,0.7069,True
6.0,355,70,12571,33.9,99,Coconut,original,0.9767,True
6.2,480,82,1500,27.5,90,Maize,original,0.7161,True
5.3,520,77,2800,28.8,86,Maize,original,0.3755,False
6.0,515,78,2750,28.4,89,Maize,original,0.4115,False
6.8,550,75,2500,29.2,95,Maize,original,0.0009,False
6.0,515,78,2750,28.4,89,Maize,original,0.4115,False
6.2,480,82,1500,27.5,90,Maize,original,0.7161,True
5.3,520,77,2800,28.8,86,Maize,original,0.3755,False
6.8,405,79,1900,28.0,84,Maize,original,0.1053,False
6.5,475,80,1215,27.0,99,Coffee,original,0.99,True
5.5,450,86,700,26.5,87,Coffee,original,0.3675,False
6.5,474,81,1215,27.0,98,Coffee,original,1.0,True
5.6,456,85,720,26.5,88,Coffee,original,0.8105,True
6.5,470,83,1235,27.0,97,Coffee,original,0.89,True
5.7,456,85,720,26.5,88,Coffee,original,0.9314,True
6.8,405,79,1900,28.0,84,Forage Grass,original,0.1296,False
6.8,550,75,2500,29.2,95,Forage Grass,original,0.2348,False
6.2,480,82,1500,27.5,90,Forage Grass,original,0.0934,False
5.3,520,77,2800,28.8,86,Forage Grass,original,0.0804,False
6.0,515,78,2750,28.4,89,Forage Grass,original,0.1309,False
6.0,515,78,2750,28.4,89,Forage Grass,original,0.1309,False
6.2,480,82,1500,27.5,90,Forage Grass,original,0.0934,False
5.3,520,77,2800,28.8,86,Forage Grass,original,0.0804,False
6.3,460,78,1800,28.2,90,Ginger,original,0.5607,False
5.5,455,85,1150,27.1,85,Ginger,original,0.4781,False
6.4,500,80,1900,27.7,93,Ginger,original,0.6408,True
6.2,530,79,2400,28.2,91,Ginger,original,0.0233,False
6.0,525,81,2000,27.8,94,Ginger,original,0.6841,True
6.1,515,77,2500,28.4,88,Ginger,original,0.6433,True
6.5,490,80,1800,28.0,92,Ginger,original,0.0767,False
6.3,505,78,2200,27.5,90,Ginger,original,0.6067,True
5.9,485,83,1500,26.9,89,Ginger,original,0.6883,True
6.2,410,78,2200,28.4,83,Ipil Ipil,original,0.44,False
6.8,405,79,1900,28.0,84,Ipil Ipil,original,0.2139,False
5.7,470,84,1050,27.4,89,Jackfruit,original,0.1617,False
6.8,405,79,1900,28.0,84,Jackfruit,original,0.1835,False
5.7,420,81,950,28.0,80,Jackfruit,original,0.049,False
6.1,390,76,1850,28.3,78,Jackfruit,original,0.0,False
4.0,632,62,8077,29.5,99,Jackfruit,original,0.2648,False
6.0,517,88,1094,28.5,99,Mango,original,0.4979,False
6.0,400,80,1000,27.9,80,Mango,original,0.8435,True
5.8,490,85,850,26.8,85,Lanzones,original,0.88,True
5.9,505,84,1100,27.3,88,Lanzones,original,0.569,False
3.5,898,67,4316,30.7,99,Lanzones,original,0.96,True
5.8,490,85,850,26.8,85,Rambutan,original,0.6565,True
5.9,505,84,1100,27.3,88,Rambutan,original,0.4041,False
6.5,745,81,2090,27.8,99,Rambutan,original,0.9,True
5.9,455,84,1050,27.0,85,Rambutan,original,0.896,True
